from_currency_code,from_currency_name,to_currency_code,to_currency_name,exchange_rate,last_refreshed,time_zone
GBP,British Pound Sterling,USD,United States Dollar,1.2954375,2018-09-05 15:16:33,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00896563,2018-09-05 15:30:02,UTC
EUR,Euro,USD,United States Dollar,1.1615751,2018-09-05 15:30:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2887428,2018-09-05 15:31:03,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0289654,2018-09-05 15:31:33,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-05 15:45:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2895405,2018-09-05 15:45:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0293361,2018-09-05 15:46:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00897078,2018-09-05 15:46:33,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-05 16:00:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00897127,2018-09-05 16:00:32,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.290256,2018-09-05 16:01:03,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0292513,2018-09-05 16:01:33,UTC
EUR,Euro,USD,United States Dollar,1.1626556,2018-09-05 16:15:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2898233,2018-09-05 16:15:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0293255,2018-09-05 16:16:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00897183,2018-09-05 16:16:33,UTC
EUR,Euro,USD,United States Dollar,1.1626556,2018-09-05 16:30:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0290183,2018-09-05 16:30:32,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00896805,2018-09-05 16:31:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2912222,2018-09-05 16:31:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2906556,2018-09-05 16:45:02,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-05 16:45:32,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0288172,2018-09-05 16:46:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00896539,2018-09-05 16:46:33,UTC
EUR,Euro,USD,United States Dollar,1.162926,2018-09-05 17:15:02,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2908223,2018-09-05 17:15:32,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00896724,2018-09-05 17:16:03,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0290818,2018-09-05 17:16:38,UTC
EUR,Euro,USD,United States Dollar,1.162926,2018-09-05 17:30:02,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0289443,2018-09-05 17:30:34,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2901394,2018-09-05 17:31:04,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00896322,2018-09-05 17:31:34,UTC
EUR,Euro,USD,United States Dollar,1.1627907,2018-09-05 17:45:02,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00896306,2018-09-05 17:45:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2901561,2018-09-05 17:46:03,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0289654,2018-09-05 17:46:34,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2897402,2018-09-05 18:00:03,UTC
EUR,Euro,USD,United States Dollar,1.1625204,2018-09-05 18:00:33,UTC
CHF,Swiss Franc,USD,United States Dollar,1.0284468,2018-09-05 18:01:03,UTC
JPY,Japanese Yen,USD,United States Dollar,0.00896354,2018-09-05 18:01:33,UTC
GBP,British Pound Sterling,USD,United States Dollar,1.2900729,2018-09-05 18:15:02,UTC
